name	year	director	country	genres	Watched
rocky					
chinatown 					
apocalypse now					
"the good, the bad, and the ugly"					
the wild bunch					
seven samurai					
rashomon					
breathless					
the dreamers					
the seventh seal					
do the right thing					
brazil					
sweet sweetback’s badass song					
sex lies nad videotape					
shawshank redemption					
pulp fiction					
down by law					
saving private ryan					
thin red line					
hunger					
pink flamingos					
deep throat					
somewhere					
virgin suicides					
thank you for smoking					
delicatessen					
dr. strangelove					
shaun of the dead					
big lebowski					
fear and loathing in LV					
full metal jacket					
trainspotting					
american psycho					
an andalusian dog					
serial mom					
happiness					
bride of chucky					
fight club					
kill bill					
somewhere					
upstream color					
elephant					
the fountain					
eternal sunshine of the spotless mind					
enter the void					
requiem for a dream					
antichrist					
badlands					
donnie darko					
primer					
melancholia					
tree of life					
gerry					
another earth					
Andrei Rublev					
L'atalante					
Tokyo Story					
days of heaven					
fanny and alexander					
the white ribbon					
the gospel according to st matthew					
lion king					
beauty and the beast					
mulan					
moana					
distant voices					
there will be blood					
the graduate					
bambi					
death in venice					
an andalusian dog					
R100					
the seashell and the clergyman					
black moon					
the fall					
meshes of the afternoon					
l’age d'or					
santa sangre - jodorowsky					
"synecdoche, new york "					
last year in marienbad					
a field in england					
house					
el topo - jodorowsky					
naked lunch					
dreams					
pink floyd: the wall					
